Date,ARIMA Model Transformed Forecast values,ARIMA Model Original scale Forecast values
01/10/2019,5.256287352,185.4278792
02/10/2019,4.934544977,174.2403983
03/10/2019,4.745396063,167.5808865
04/10/2019,4.907088668,148.0177575
05/10/2019,5.202770359,129.564045
06/10/2019,5.303857903,143.4141481
07/10/2019,5.212469277,176.5522537
08/10/2019,5.210819387,183.5249439
09/10/2019,5.011225937,173.2100235
10/10/2019,4.727764246,166.8022567
11/10/2019,4.926204916,148.5226543
12/10/2019,5.201374333,131.4303987
13/10/2019,5.24885642,144.3374443
14/10/2019,5.235657455,175.3671639
15/10/2019,5.180710362,182.4100767
16/10/2019,4.994597587,172.4032929
17/10/2019,4.804927637,165.7803305
18/10/2019,4.927316733,148.8485
19/10/2019,5.193448061,133.2236225
20/10/2019,5.230841956,145.536156
21/10/2019,5.211167756,174.3446318
22/10/2019,5.194135677,180.8621448
23/10/2019,4.98682712,171.6446464
24/10/2019,4.831500825,165.1270837
25/10/2019,4.956602652,149.2495842
26/10/2019,5.165901303,134.8167077
27/10/2019,5.220252152,146.450479
28/10/2019,5.200566393,173.4542791
29/10/2019,5.172716411,179.7230399
30/10/2019,5.003574799,170.8401574
31/10/2019,4.854775405,164.3411694
01/11/2019,4.973792762,149.6433349
02/11/2019,5.155897536,136.4192002
03/11/2019,5.197916677,147.4148727
04/11/2019,5.199429941,172.5138917
05/11/2019,5.161294294,178.4654475
06/11/2019,5.005437879,170.1993896
07/11/2019,4.885135979,163.7587638
08/11/2019,4.984240063,149.9911863
09/11/2019,5.145816874,137.8419568
10/11/2019,5.185095084,148.2787137
11/11/2019,5.186872164,171.7474004
12/11/2019,5.155522579,177.3645743
13/11/2019,5.009198145,169.4807989
14/11/2019,4.907428095,163.1692769
15/11/2019,4.997890197,150.3884772
16/11/2019,5.133441033,139.2367836
17/11/2019,5.175018481,149.0824728
18/11/2019,5.179039714,170.9463869
19/11/2019,5.145815643,176.302675
20/11/2019,5.015965141,168.8948135
21/11/2019,4.926970359,162.6634069
22/11/2019,5.008254276,150.7224562
23/11/2019,5.125722248,140.5166577
24/11/2019,5.163270498,149.8552414
25/11/2019,5.17218448,170.2561697
26/11/2019,5.138160043,175.2923494
27/11/2019,5.020518175,168.2769885
28/11/2019,4.94570325,162.2111919
29/11/2019,5.016225607,151.0931417
30/11/2019,5.118817778,141.729727
